Block	chr1	start1	end1	strand1	chr2	start2	end2	strand2
1016	A4	1	1022713	+	chr9	36566073	37588785	-
1015	A4	1022713	1353885	+	chr9	36201254	36532426	-
1454	A4	1353885	1844895	+	chr8	43065971	43556981	+
1445	A4	1844895	3052651	+	chr8	32073213	33280969	-
1435	A4	3052651	3581358	+	chr8	18861725	19390432	+
1043	A4	3581358	4280823	+	chr9	116897888	117597353	+
1044	A4	4280823	7548365	+	chr9	117735388	121002930	+
1042	A4	7548365	9293333	+	chr9	112930923	114675891	-
1045	A4	9293333	9948614	+	chr9	121722579	122377860	+
1047	A4	9948614	11582461	+	chr9	123499593	125133440	-
1046	A4	11582461	12642474	+	chr9	122438854	123498867	+
1011	A4	12642474	13072156	+	chr9	32500600	32930282	-
1010	A4	13072156	14253371	+	chr9	27407187	28588402	-
1009	A4	14253371	16444178	+	chr9	25132628	27323435	-
1008	A4	16444178	16865803	+	chr9	24711003	25132628	-
1007	A4	16865803	19379005	+	chr9	22197801	24711003	-
1006	A4	19379005	19769255	+	chr9	21807551	22197801	-
1005	A4	19769255	20956880	+	chr9	19885020	21072645	-
1004	A4	20956880	21520410	+	chr9	19321490	19885020	-
1003	A4	21520410	32664127	+	chr9	8070368	19214085	-
1002	A4	32664127	33786157	+	chr9	6704894	7826924	-
1001	A4	33786157	34629909	+	chr9	5861142	6704894	-
1000	A4	34629909	35293306	+	chr9	5197745	5861142	-
999	A4	35293306	35852102	+	chr9	4638949	5197745	-
998	A4	35852102	37481905	+	chr9	2800459	4430262	-
997	A4	37481905	40236900	+	chr9	45464	2800459	-
1017	A4	40236900	41025570	+	chr9	80394370	81183040	+
1018	A4	41025570	43043619	+	chr9	81480521	83498570	+
1019	A4	43043619	43867011	+	chr9	83498570	84321962	+
1020	A4	43867011	44560669	+	chr9	84321962	85015620	+
1021	A4	44560669	46653457	+	chr9	85015620	87108408	+
1022	A4	46653457	48149871	+	chr9	87108408	88604822	+
1023	A4	48149871	49899705	+	chr9	88604822	90354656	+
1024	A4	49899705	51526114	+	chr9	90378294	92004703	+
1025	A4	51526114	51928068	+	chr9	92044279	92446233	+
1026	A4	51928068	53565013	+	chr9	92446233	94083178	+
1027	A4	53565013	54442500	+	chr9	94238753	95116240	+
1028	A4	54442500	54825044	+	chr9	95381768	95764312	+
1029	A4	54825044	55501577	+	chr9	95851075	96527608	+
1030	A4	55501577	56399588	+	chr9	96527608	97425619	+
1031	A4	56399588	56755623	+	chr9	97478050	97834085	+
1032	A4	56755623	57271673	+	chr9	97834085	98350135	+
1033	A4	57271673	58891863	+	chr9	98350135	99970325	+
1039	A4	58891863	61048763	+	chr9	106726747	108883647	+
1034	A4	61048763	62081188	+	chr9	101227379	102259804	+
1035	A4	62081188	63445605	+	chr9	102926350	104290767	+
125	A4	63445605	64719758	+	chr5	128148102	129422255	-
124	A4	64719758	65061215	+	chr5	127806645	128148102	-
123	A4	65061215	65447409	+	chr5	127323960	127710154	-
122	A4	65447409	68221254	+	chr5	124283712	127057557	-
121	A4	68221254	69701538	+	chr5	122520397	124000681	-
120	A4	69701538	70351834	+	chr5	120892620	121542916	-
119	A4	70351834	70949064	+	chr5	119495346	120092576	-
118	A4	70949064	71871136	+	chr5	118472046	119394118	-
117	A4	71871136	73530577	+	chr5	116570123	118229564	-
116	A4	73530577	73989904	+	chr5	116110796	116570123	-
115	A4	73989904	75204582	+	chr5	114585639	115800317	-
114	A4	75204582	75738356	+	chr5	113478534	114012308	-
113	A4	75738356	76422493	+	chr5	112441472	113125609	-
112	A4	76422493	76785317	+	chr5	111685993	112048817	-
111	A4	76785317	77137672	+	chr5	111287708	111640063	-
110	A4	77137672	81791792	+	chr5	106546743	111200863	-
109	A4	81791792	82647013	+	chr5	105691522	106546743	-
108	A4	82647013	82980526	+	chr5	105358009	105691522	-
107	A4	82980526	84271553	+	chr5	104066982	105358009	-
106	A4	84271553	85291348	+	chr5	102896636	103916431	-
105	A4	85291348	86163298	+	chr5	102024686	102896636	-
104	A4	86163298	87281124	+	chr5	100906860	102024686	-
103	A4	87281124	97124514	+	chr5	87488327	97331717	-
102	A4	97124514	98332048	+	chr5	86280793	87488327	-
101	A4	98332048	100506232	+	chr5	82774694	84948878	-
100	A4	100506232	102470374	+	chr5	80810552	82774694	-
95	A4	102470374	103962247	+	chr5	71931726	73423599	+
96	A4	103962247	105926329	+	chr5	73423599	75387681	+
97	A4	105926329	107404428	+	chr5	75447343	76925442	+
98	A4	107404428	107929049	+	chr5	76925442	77450063	+
99	A4	107929049	111289538	+	chr5	77450063	80810552	+
94	A4	111289538	114368514	+	chr5	64114050	67193026	-
93	A4	114368514	117418437	+	chr5	61064127	64114050	-
92	A4	117418437	118797258	+	chr5	59685306	61064127	-
91	A4	118797258	119513089	+	chr5	58969475	59685306	-
90	A4	119513089	121792850	+	chr5	56689714	58969475	-
89	A4	121792850	122601697	+	chr5	55880867	56689714	-
88	A4	122601697	125039418	+	chr5	53443146	55880867	-
87	A4	125039418	127028913	+	chr5	51453651	53443146	-
86	A4	127028913	128531605	+	chr5	43707219	45209911	-
85	A4	128531605	130212047	+	chr5	40698543	42378985	-
84	A4	130212047	131537597	+	chr5	38965103	40290653	-
83	A4	131537597	133836053	+	chr5	36666647	38965103	-
82	A4	133836053	135847542	+	chr5	34655158	36666647	-
81	A4	135847542	136367423	+	chr5	33546677	34066558	-
80	A4	136367423	136771908	+	chr5	32325468	32729953	-
1535	A4	136771908	139034451	+	chr18	58116666	60379209	-
1534	A4	139034451	140070004	+	chr18	56805722	57841275	-
1533	A4	140070004	141022085	+	chr18	55839622	56791703	-
1532	A4	141022085	142120337	+	chr18	54740368	55838620	-
1531	A4	142120337	144575184	+	chr18	48569763	51024610	-
1530	A4	144575184	146803003	+	chr18	46341944	48569763	-
1529	A4	146803003	147251195	+	chr18	45893752	46341944	-
1528	A4	147251195	149199595	+	chr18	43945352	45893752	-
1527	A4	149199595	153231827	+	chr18	39913120	43945352	-
1526	A4	153231827	156163375	+	chr18	36981572	39913120	-
1012	A4	156163375	156575511	+	chr9	33201083	33613219	+
1013	A4	156575511	156987184	+	chr9	34199969	34611642	+
1014	A4	156987184	157550272	+	chr9	35103497	35666585	+
855	A5	1	446368	+	chr2	72936714	73383081	-
854	A5	446368	1459715	+	chr2	71864061	72877408	-
853	A5	1459715	2037147	+	chr2	71286629	71864061	-
852	A5	2037147	2508410	+	chr2	70815366	71286629	-
858	A5	2508410	4483132	+	chr2	79160655	81135377	+
859	A5	4483132	6131199	+	chr2	82837656	84485723	+
861	A5	6131199	7092537	+	chr2	85702450	86663788	-
425	A5	7092537	7526129	+	chr4	2034893	2468485	+
426	A5	7526129	8538049	+	chr4	2468485	3480405	+
434	A5	8538049	8843082	+	chr4	8521445	8826478	-
433	A5	8843082	9149815	+	chr4	7906178	8212911	-
432	A5	9149815	9646329	+	chr4	7409664	7906178	-
431	A5	9646329	10285145	+	chr4	6688068	7326884	-
430	A5	10285145	10585702	+	chr4	6173854	6474411	-
429	A5	10585702	10971042	+	chr4	5788514	6173854	-
428	A5	10971042	11846389	+	chr4	4913167	5788514	-
427	A5	11846389	12519704	+	chr4	4151908	4825223	-
435	A5	12519704	14166959	+	chr4	15790775	17438030	+
436	A5	14166959	15739074	+	chr4	17518865	19090980	+
437	A5	15739074	20129623	+	chr4	19090980	23481529	+
438	A5	20129623	22758637	+	chr4	23481529	26110543	+
439	A5	22758637	24471986	+	chr4	26110543	27823892	+
440	A5	24471986	26349801	+	chr4	28176983	30054798	+
441	A5	26349801	31087884	+	chr4	30055125	34793208	+
442	A5	31087884	31394216	+	chr4	34835874	35142206	+
443	A5	31394216	34345908	+	chr4	35418117	38369809	+
444	A5	34345908	35150674	+	chr4	38369809	39174575	+
445	A5	35150674	36886294	+	chr4	39352583	41088203	+
446	A5	36886294	39393288	+	chr4	41088203	43595197	+
447	A5	39393288	42156678	+	chr4	45462538	48225928	+
448	A5	42156678	43055249	+	chr4	48225928	49124499	+
449	A5	43055249	44988755	+	chr4	55630307	57563813	+
450	A5	44988755	46155645	+	chr4	57564219	58731109	+
451	A5	46155645	46630640	+	chr4	58731109	59206104	+
452	A5	46630640	47376137	+	chr4	59206104	59951601	+
1427	A5	47376137	47999076	+	chr8	13299153	13922092	+
1428	A5	47999076	48652015	+	chr8	13922092	14575031	+
1429	A5	48652015	49522454	+	chr8	14576838	15447277	+
1430	A5	49522454	49977608	+	chr8	15753303	16208457	+
1431	A5	49977608	50316868	+	chr8	16211724	16550984	+
1432	A5	50316868	50635054	+	chr8	16570230	16888416	+
1433	A5	50635054	51162765	+	chr8	16890040	17417751	+
1434	A5	51162765	52129938	+	chr8	17418533	18385706	+
543	A5	52129938	53384467	+	chr4	189858856	191113385	-
542	A5	53384467	53709785	+	chr4	189229362	189554680	-
541	A5	53709785	54150731	+	chr4	188788416	189229362	-
540	A5	54150731	54833373	+	chr4	188105774	188788416	-
539	A5	54833373	56520523	+	chr4	186418624	188105774	-
538	A5	56520523	61224496	+	chr4	181714651	186418624	-
537	A5	61224496	62259230	+	chr4	180332493	181367227	-
536	A5	62259230	62924876	+	chr4	178954323	179619969	-
535	A5	62924876	65115126	+	chr4	176122824	178313074	-
534	A5	65115126	67083242	+	chr4	174144173	176112289	-
533	A5	67083242	67749253	+	chr4	173478162	174144173	-
532	A5	67749253	68846121	+	chr4	172318699	173415567	-
531	A5	68846121	69400134	+	chr4	171764686	172318699	-
530	A5	69400134	69753889	+	chr4	171171312	171525067	-
529	A5	69753889	70792155	+	chr4	169547933	170586199	-
528	A5	70792155	71794480	+	chr4	168338749	169341074	-
527	A5	71794480	72694188	+	chr4	166731567	167631275	-
526	A5	72694188	73216143	+	chr4	166207633	166729588	-
525	A5	73216143	74324044	+	chr4	164736349	165844250	-
524	A5	74324044	74888379	+	chr4	164172014	164736349	-
523	A5	74888379	75890141	+	chr4	162893336	163895098	-
522	A5	75890141	76682453	+	chr4	162101024	162893336	-
521	A5	76682453	77234721	+	chr4	161548756	162101024	-
520	A5	77234721	79173548	+	chr4	159156820	161095647	-
519	A5	79173548	79588903	+	chr4	158741465	159156820	-
518	A5	79588903	79917884	+	chr4	157864768	158193749	-
517	A5	79917884	80380658	+	chr4	157262416	157725190	-
516	A5	80380658	80978886	+	chr4	156664188	157262416	-
515	A5	80978886	81598812	+	chr4	155902160	156522086	-
514	A5	81598812	82202513	+	chr4	155239384	155843085	-
513	A5	82202513	83043460	+	chr4	154381556	155222503	-
512	A5	83043460	84093139	+	chr4	153331877	154381556	-
511	A5	84093139	84913833	+	chr4	152511183	153331877	-
510	A5	84913833	88708613	+	chr4	148648620	152443400	-
509	A5	88708613	90030479	+	chr4	147326754	148648620	-
508	A5	90030479	90440190	+	chr4	146465071	146874782	-
507	A5	90440190	92709514	+	chr4	144195747	146465071	-
506	A5	92709514	93302237	+	chr4	143019174	143611897	-
505	A5	93302237	94150091	+	chr4	141964277	142812131	-
504	A5	94150091	95259211	+	chr4	140855157	141964277	-
503	A5	95259211	96269955	+	chr4	138557876	139568620	-
502	A5	96269955	96626900	+	chr4	137905252	138262197	-
501	A5	96626900	98057019	+	chr4	136475133	137905252	-
500	A5	98057019	98620503	+	chr4	134885416	135448900	-
499	A5	98620503	99289347	+	chr4	133808975	134477819	-
498	A5	99289347	100629601	+	chr4	132467258	133807512	-
497	A5	100629601	101403641	+	chr4	131688958	132462998	-
496	A5	101403641	101729424	+	chr4	131363175	131688958	-
495	A5	101729424	102066065	+	chr4	131026534	131363175	-
494	A5	102066065	105214865	+	chr4	127707986	130856786	-
493	A5	105214865	106862656	+	chr4	125455879	127103670	-
492	A5	106862656	107221802	+	chr4	124828686	125187832	-
491	A5	107221802	108479592	+	chr4	123344342	124602132	-
490	A5	108479592	109333850	+	chr4	122022223	122876481	-
489	A5	109333850	109673235	+	chr4	119549591	119888976	-
488	A5	109673235	110442331	+	chr4	116726817	117495913	-
487	A5	110442331	111654213	+	chr4	115514935	116726817	-
486	A5	111654213	113347141	+	chr4	113723416	115416344	-
485	A5	113347141	114223054	+	chr4	112842153	113718066	-
484	A5	114223054	119835500	+	chr4	107229707	112842153	-
483	A5	119835500	120927992	+	chr4	104827495	105919987	-
482	A5	120927992	122951261	+	chr4	102804226	104827495	-
481	A5	122951261	124389475	+	chr4	101366012	102804226	-
480	A5	124389475	125704050	+	chr4	100038840	101353415	-
479	A5	125704050	126329395	+	chr4	99344216	99969561	-
478	A5	126329395	127938033	+	chr4	97673254	99281892	-
477	A5	127938033	129477447	+	chr4	96133840	97673254	-
476	A5	129477447	132507063	+	chr4	92745700	95775316	-
475	A5	132507063	133390917	+	chr4	91861846	92745700	-
474	A5	133390917	133791357	+	chr4	91017916	91418356	-
473	A5	133791357	134100012	+	chr4	90709261	91017916	-
472	A5	134100012	134767064	+	chr4	89811829	90478881	-
471	A5	134767064	135242413	+	chr4	89336480	89811829	-
470	A5	135242413	136183342	+	chr4	88395551	89336480	-
469	A5	136183342	136588705	+	chr4	87990188	88395551	-
468	A5	136588705	137067380	+	chr4	87148775	87627450	-
467	A5	137067380	137433578	+	chr4	86053115	86419313	-
466	A5	137433578	138093143	+	chr4	84403477	85063042	-
465	A5	138093143	138717756	+	chr4	83778864	84403477	-
464	A5	138717756	140282821	+	chr4	81924272	83489337	-
463	A5	140282821	140857280	+	chr4	81349813	81924272	-
462	A5	140857280	141544832	+	chr4	79764886	80452438	-
461	A5	141544832	142004860	+	chr4	79304858	79764886	-
459	A5	142004860	142702850	+	chr4	73776918	74474908	+
460	A5	142702850	143134349	+	chr4	76657362	77088861	+
1444	A5	143134349	143713517	+	chr8	31105624	31684792	-
458	A5	143713517	147415683	+	chr4	68004679	71706845	-
457	A5	147415683	148026350	+	chr4	66816406	67427073	-
456	A5	148026350	148482258	+	chr4	66360498	66816406	-
455	A5	148482258	151812006	+	chr4	63024866	66354614	-
454	A5	151812006	152441251	+	chr4	60742000	61371245	-
453	A5	152441251	153231650	+	chr4	59951601	60742000	-
1752	A6	1	1066949	+	chr7	136573310	137640258	-
1338	A6	1066949	2911609	+	chr12	12749915	14594575	+
560	A6	2911609	3421847	+	chr22	42588208	43098446	-
559	A6	3421847	8009917	+	chr22	38000138	42588208	-
558	A6	8009917	9890346	+	chr22	36020448	37900877	-
557	A6	9890346	10988208	+	chr22	34922586	36020448	-
556	A6	10988208	11774838	+	chr22	32847405	33634035	-
1397	A6	11774838	12619922	+	chr12	106914344	107759428	-
1396	A6	12619922	14194976	+	chr12	105339290	106914344	-
1395	A6	14194976	15563886	+	chr12	103919444	105288354	-
1394	A6	15563886	16833742	+	chr12	102649588	103919444	-
1393	A6	16833742	17640389	+	chr12	101842941	102649588	-
1392	A6	17640389	18004463	+	chr12	101478867	101842941	-
1391	A6	18004463	18621429	+	chr12	100487592	101104558	-
1390	A6	18621429	24126989	+	chr12	94979253	100484813	-
1389	A6	24126989	24474310	+	chr12	94067513	94414834	-
1388	A6	24474310	24953856	+	chr12	93486161	93965707	-
1387	A6	24953856	28187038	+	chr12	90252979	93486161	-
1386	A6	28187038	30231954	+	chr12	88208063	90252979	-
1385	A6	30231954	32198032	+	chr12	85942831	87908909	-
1384	A6	32198032	32525136	+	chr12	85615727	85942831	-
1383	A6	32525136	34113375	+	chr12	84027488	85615727	-
1382	A6	34113375	41522562	+	chr12	76618301	84027488	-
1381	A6	41522562	42227045	+	chr12	75874174	76578657	-
1380	A6	42227045	43066542	+	chr12	74663945	75503442	-
1379	A6	43066542	44534545	+	chr12	71700029	73168032	-
1378	A6	44534545	45297376	+	chr12	70937198	71700029	-
1377	A6	45297376	46220818	+	chr12	70013756	70937198	-
1376	A6	46220818	50017707	+	chr12	66216867	70013756	-
1375	A6	50017707	51840259	+	chr12	64394315	66216867	-
1374	A6	51840259	52237610	+	chr12	63974938	64372289	-
1373	A6	52237610	53864525	+	chr12	61442717	63069632	-
1372	A6	53864525	55930230	+	chr12	59377012	61442717	-
1371	A6	55930230	57419578	+	chr12	57887664	59377012	-
1360	A6	57419578	61744662	+	chr12	43136671	47461755	-
1359	A6	61744662	63308220	+	chr12	41573113	43136671	-
1358	A6	63308220	64290259	+	chr12	40591074	41573113	-
1737	A6	64290259	64705981	+	chr7	109446861	109862583	+
1738	A6	64705981	66011916	+	chr7	109864980	111170915	+
1739	A6	66011916	66356179	+	chr7	111205364	111549627	+
1740	A6	66356179	68067556	+	chr7	111979553	113690930	+
1741	A6	68067556	73657023	+	chr7	113875911	119465378	+
1742	A6	73657023	74079268	+	chr7	120174119	120596364	+
1743	A6	74079268	78248826	+	chr7	121365370	125534928	+
1744	A6	78248826	79351152	+	chr7	125534928	126637254	+
1745	A6	79351152	80304429	+	chr7	127845199	128798476	+
569	A6	80304429	80646198	+	chr22	50467284	50809053	-
568	A6	80646198	81438449	+	chr22	48208203	49000454	-
567	A6	81438449	82162381	+	chr22	47170779	47894711	-
566	A6	82162381	82551757	+	chr22	46781403	47170779	-
1355	A6	82551757	83267477	+	chr12	38429542	39145262	+
1356	A6	83267477	83693291	+	chr12	39186503	39612317	+
1357	A6	83693291	84564852	+	chr12	39719513	40591074	+
1736	A6	84564852	85873107	+	chr7	108138606	109446861	-
1735	A6	85873107	86627411	+	chr7	106883957	107638261	-
1734	A6	86627411	88670542	+	chr7	104840826	106883957	-
1733	A6	88670542	89129645	+	chr7	104006533	104465636	-
1708	A6	89129645	90338434	+	chr7	78322851	79531640	+
1709	A6	90338434	91227052	+	chr7	79611356	80499974	+
1710	A6	91227052	92639797	+	chr7	80499974	81912719	+
1711	A6	92639797	93041632	+	chr7	81913961	82315796	+
1712	A6	93041632	93585360	+	chr7	82701010	83244738	+
1713	A6	93585360	94310164	+	chr7	83244738	83969542	+
1714	A6	94310164	94869140	+	chr7	83969542	84528518	+
1715	A6	94869140	95257000	+	chr7	84528518	84916378	+
1716	A6	95257000	95611681	+	chr7	84916507	85271188	+
1717	A6	95611681	96232964	+	chr7	85477076	86098359	+
1718	A6	96232964	96884476	+	chr7	86098359	86749871	+
1719	A6	96884476	97343487	+	chr7	88064845	88523856	+
311	A6	97343487	98131642	+	chr10	14146393	14934548	-
310	A6	98131642	98622625	+	chr10	13108505	13599488	-
309	A6	98622625	99137308	+	chr10	12560364	13075047	-
308	A6	99137308	99630499	+	chr10	12066907	12560098	-
307	A6	99630499	101290854	+	chr10	10012018	11672373	-
306	A6	101290854	102783056	+	chr10	8492097	9984299	-
305	A6	102783056	104235506	+	chr10	7039647	8492097	-
304	A6	104235506	104561857	+	chr10	6079949	6406300	-
303	A6	104561857	104983442	+	chr10	5415930	5837515	-
1751	A6	104983442	106458046	+	chr7	134213206	135687810	-
1750	A6	106458046	107983301	+	chr7	132687951	134213206	-
1749	A6	107983301	108582545	+	chr7	132088707	132687951	-
1748	A6	108582545	109207290	+	chr7	131463962	132088707	-
1747	A6	109207290	110268434	+	chr7	130402818	131463962	-
1746	A6	110268434	111286747	+	chr7	128870861	129889174	-
1761	A7	1	429840	+	chr7	152038954	152468793	-
656	A7	429840	1303695	+	chr3	47384471	48258326	-
655	A7	1303695	1776547	+	chr3	46739793	47212645	-
1316	A7	1776547	2297832	+	chr1	227054201	227575486	+
650	A7	2297832	2676315	+	chr3	42545733	42924216	-
648	A7	2676315	3182967	+	chr3	38550441	39057093	-
1762	A7	3182967	3560686	+	chr7	152468793	152846512	+
1763	A7	3560686	4362497	+	chr7	152846512	153648323	+
1764	A7	4362497	4720074	+	chr7	153648323	154005900	+
1765	A7	4720074	5528991	+	chr7	154583058	155391975	+
1766	A7	5528991	6388678	+	chr7	155391975	156251662	+
1767	A7	6388678	8775071	+	chr7	156266627	158653020	+
1768	A7	8775071	9849183	+	chr7	158653020	159727132	+
296	A7	9849183	10478543	+	chr10	17349	646709	+
297	A7	10478543	10839917	+	chr10	646709	1008083	+
298	A7	10839917	11655803	+	chr10	1012133	1828019	+
299	A7	11655803	12235937	+	chr10	1828019	2408153	+
300	A7	12235937	12668461	+	chr10	2613058	3045582	+
301	A7	12668461	13293071	+	chr10	3236567	3861177	+
302	A7	13293071	14258918	+	chr10	3861177	4827024	+
332	A7	14258918	15242766	+	chr10	36053695	37037543	-
331	A7	15242766	15689868	+	chr10	35606593	36053695	-
330	A7	15689868	16144283	+	chr10	35126232	35580647	-
329	A7	16144283	18658606	+	chr10	32611909	35126232	-
328	A7	18658606	19014980	+	chr10	31781309	32137683	-
327	A7	19014980	20035574	+	chr10	30760715	31781309	-
326	A7	20035574	20461308	+	chr10	30242551	30668285	+
325	A7	20461308	21250476	+	chr10	28672348	29461516	-
324	A7	21250476	22104965	+	chr10	27491032	28345521	-
323	A7	22104965	22671026	+	chr10	25771354	26337415	-
322	A7	22671026	23858275	+	chr10	24584105	25771354	-
321	A7	23858275	24666049	+	chr10	23686846	24494620	-
320	A7	24666049	25159014	+	chr10	23193881	23686846	-
319	A7	25159014	28973820	+	chr10	19379075	23193881	-
318	A7	28973820	29374760	+	chr10	18273368	18674308	-
317	A7	29374760	30214774	+	chr10	17432442	18272456	-
316	A7	30214774	30771824	+	chr10	16875392	17432442	-
315	A7	30771824	31178140	+	chr10	16444017	16850333	-
314	A7	31178140	31769093	+	chr10	15842559	16433512	-
313	A7	31769093	32164765	+	chr10	15446887	15842559	-
312	A7	32164765	32578851	+	chr10	15025177	15439263	-
1720	A7	32578851	32881195	+	chr7	88865230	89167574	+
1721	A7	32881195	33411926	+	chr7	89168959	89699690	+
1722	A7	33411926	34170701	+	chr7	90081417	90840192	+
1723	A7	34170701	34676937	+	chr7	90851303	91357539	+
1724	A7	34676937	35900162	+	chr7	91935126	93158351	+
1725	A7	35900162	36447525	+	chr7	93259374	93806737	+
1726	A7	36447525	36968289	+	chr7	93806737	94327501	+
1727	A7	36968289	38715081	+	chr7	94912466	96659258	+
1728	A7	38715081	39062812	+	chr7	96797847	97145578	+
1729	A7	39062812	40347601	+	chr7	97145669	98430458	+
1674	A7	40347601	43259597	+	chr7	7119499	10031495	+
1675	A7	43259597	45794260	+	chr7	10031495	12566158	+
1676	A7	45794260	48775861	+	chr7	13357077	16338678	+
1677	A7	48775861	52281851	+	chr7	16339968	19845958	+
1678	A7	52281851	53680833	+	chr7	20137565	21536547	+
1679	A7	53680833	54924637	+	chr7	21542716	22786520	+
1680	A7	54924637	55487253	+	chr7	22786520	23349136	+
1681	A7	55487253	55942113	+	chr7	23349136	23803996	+
1682	A7	55942113	60883604	+	chr7	23811044	28752535	+
1683	A7	60883604	62377623	+	chr7	28753538	30247557	+
632	A7	62377623	65019679	+	chr3	16267425	18909481	+
633	A7	65019679	66330904	+	chr3	18917142	20228367	+
634	A7	66330904	67167785	+	chr3	20228367	21065248	+
635	A7	67167785	68685979	+	chr3	21065248	22583442	+
636	A7	68685979	70244728	+	chr3	22583442	24142191	+
637	A7	70244728	71702324	+	chr3	24142191	25599787	+
638	A7	71702324	72530483	+	chr3	25599787	26427946	+
639	A7	72530483	72864103	+	chr3	27085380	27419000	+
640	A7	72864103	74016990	+	chr3	27698135	28851022	+
641	A7	74016990	75397960	+	chr3	28851022	30231992	+
642	A7	75397960	76353244	+	chr3	30231992	31187276	+
643	A7	76353244	77199082	+	chr3	31187276	32033114	+
644	A7	77199082	77820447	+	chr3	32033679	32655044	+
652	A7	77820447	78291097	+	chr3	43884972	44355622	-
651	A7	78291097	79009249	+	chr3	43166820	43884972	-
1684	A7	79009249	79457468	+	chr7	30247557	30695776	-
722	A7	79457468	80046196	+	chr3	135547816	136136544	+
654	A7	80046196	80582540	+	chr3	45867302	46403646	-
653	A7	80582540	80961766	+	chr3	45326587	45705813	-
649	A7	80961766	82953105	+	chr3	40421353	42412692	+
645	A7	82953105	83421326	+	chr3	33314138	33782359	+
646	A7	83421326	83880532	+	chr3	36153878	36613084	+
647	A7	83880532	84372726	+	chr3	37391937	37884131	+
1685	A7	84372726	85111088	+	chr7	31257956	31996318	+
1686	A7	85111088	85431940	+	chr7	33218708	33539560	+
1687	A7	85431940	86041361	+	chr7	33555150	34164571	+
1688	A7	86041361	86495625	+	chr7	34168838	34623102	+
1689	A7	86495625	87637456	+	chr7	34623102	35764933	+
1690	A7	87637456	88067565	+	chr7	36103700	36533809	+
1691	A7	88067565	88567239	+	chr7	38370602	38870276	+
1692	A7	88567239	89466703	+	chr7	38870276	39769740	+
1693	A7	89466703	91118396	+	chr7	40296521	41948214	+
1694	A7	91118396	93167051	+	chr7	41948214	43996869	+
1700	A7	93167051	94052820	+	chr7	54905153	55790922	-
1760	A7	94052820	95183888	+	chr7	145600259	146731327	+
1695	A7	95183888	95679346	+	chr7	45402168	45897626	+
1696	A7	95679346	96396357	+	chr7	48316962	49033973	+
1697	A7	96396357	96870494	+	chr7	49214876	49689013	+
1698	A7	96870494	98018260	+	chr7	49689013	50836779	+
1699	A7	98018260	98718387	+	chr7	50836779	51536906	+
927	A8	1	346538	+	chr2	219334862	219681399	-
926	A8	346538	679327	+	chr2	218759116	219091905	-
925	A8	679327	1497453	+	chr2	217730147	218548273	-
924	A8	1497453	2388954	+	chr2	216503302	217394803	-
884	A8	2388954	2817697	+	chr2	126789991	127218734	-
883	A8	2817697	5274697	+	chr2	124141307	126598307	-
882	A8	5274697	6135754	+	chr2	122256140	123117197	-
879	A8	6135754	7116659	+	chr2	120135496	121116401	+
880	A8	7116659	7526393	+	chr2	121116401	121526135	+
881	A8	7526393	8106655	+	chr2	121563349	122143611	+
712	A8	8106655	8605026	+	chr3	125239177	125737548	+
713	A8	8605026	9074372	+	chr3	125737548	126206894	+
714	A8	9074372	9697834	+	chr3	126206894	126830356	+
715	A8	9697834	10326415	+	chr3	126830356	127458937	+
716	A8	10326415	11268195	+	chr3	127459834	128401614	+
878	A8	11268195	11686688	+	chr2	119426183	119844676	-
877	A8	11686688	13922174	+	chr2	117190697	119426183	-
885	A8	13922174	15478967	+	chr2	132802883	134359676	+
886	A8	15478967	18002699	+	chr2	134359676	136883408	+
887	A8	18002699	19488703	+	chr2	136883408	138369412	+
888	A8	19488703	20443781	+	chr2	138471034	139426112	+
889	A8	20443781	20870827	+	chr2	140181007	140608053	+
890	A8	20870827	21624029	+	chr2	140608053	141361255	+
891	A8	21624029	30237385	+	chr2	141361255	149974611	+
892	A8	30237385	31370812	+	chr2	150004035	151137462	+
893	A8	31370812	32098665	+	chr2	151935577	152663430	+
894	A8	32098665	32994453	+	chr2	152663430	153559218	+
895	A8	32994453	37668168	+	chr2	155571244	160244959	+
896	A8	37668168	44565184	+	chr2	160244959	167141975	+
897	A8	44565184	46761870	+	chr2	167141975	169338661	+
898	A8	46761870	58608462	+	chr2	169338661	181185253	+
899	A8	58608462	60706695	+	chr2	181185253	183283486	+
900	A8	60706695	62147822	+	chr2	184859744	186300871	+
901	A8	62147822	62844739	+	chr2	187423485	188120402	+
902	A8	62844739	63319643	+	chr2	188796616	189271520	+
903	A8	63319643	63737161	+	chr2	189493621	189911139	+
904	A8	63737161	64264278	+	chr2	190297667	190824784	+
905	A8	64264278	64731588	+	chr2	190824784	191292094	+
906	A8	64731588	67125950	+	chr2	191292094	193686456	+
907	A8	67125950	67831416	+	chr2	193686456	194391922	+
908	A8	67831416	68402241	+	chr2	194541091	195111916	+
909	A8	68402241	70138807	+	chr2	196209547	197946113	+
910	A8	70138807	70469818	+	chr2	197946113	198277124	+
911	A8	70469818	72316438	+	chr2	198715941	200562561	+
912	A8	72316438	72734669	+	chr2	200562561	200980792	+
913	A8	72734669	74181740	+	chr2	202047280	203494351	+
914	A8	74181740	74947300	+	chr2	203494351	204259911	+
915	A8	74947300	75265102	+	chr2	204259911	204577713	+
916	A8	75265102	78548243	+	chr2	204696625	207979766	+
917	A8	78548243	79070695	+	chr2	207979766	208502218	+
918	A8	79070695	80053303	+	chr2	208551484	209534092	+
